Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
HATMA,Enrique,QUI,28,132,109,15,8,0.939,1,52,9,85.2,5,0
HEEMSKERK,Terrance,PIO,33,141,70,57,14,0.901,15,8,1,88.9,1,0
HEILIGERS,Daniel,PIO,9,44,38,5,1,0.977,1,23,3,88.5,4,0
HELMS,Allard,UVV,7,4,1,3,0,1.000,0,0,0,,0,0
HELMS,Thijs,UVV,24,36,34,2,0,1.000,1,0,0,,0,0
HENRIQUE,Roelie,AMS,22,88,33,50,5,0.943,13,0,0,,0,0
HERKEMIJ,Cris,DKI,13,38,33,5,0,1.000,6,0,0,,0,0
HOFER,Nick,DKI,30,92,89,2,1,0.989,1,0,0,,0,0
HOOGENDOORN,Ryan,PIO,18,1,1,0,0,1.000,0,0,0,,0,0
HUIJER,Lars,HCA,12,24,3,21,0,1.000,2,0,0,,0,0
HUIJER,Swen,PIO,5,1,0,1,0,1.000,0,0,0,,0,0
HUNTINGTON,Ryan,NEP,19,3,1,2,0,1.000,0,0,0,,0,0
IRAUSQUIN,Edvin,RCH,24,40,30,7,3,0.925,1,0,0,,0,0
ISENIA,Aaron,QUI,32,98,82,11,5,0.949,3,2,1,66.7,0,0
JACOBS,Raul,RCH,29,128,47,74,7,0.945,10,0,0,,0,0
JAKOBUS,Jason,AMS,23,22,22,0,0,1.000,0,0,0,,0,0
JAKOBUS,Marvin,UVV,31,122,101,18,3,0.975,14,0,0,,0,0
JALVINGH,Rik,RCH,11,17,2,14,1,0.941,1,3,1,75.0,0,0
JAMANIKA,Sheadion,NEP,24,169,150,13,6,0.964,15,0,0,,0,0
JANSEN,Wesley,AMS,1,1,1,0,0,1.000,0,0,0,,0,0
KAMPHORST,Floris Jan,QUI,13,1,0,0,1,0.000,0,0,0,,0,0
KAREL,Sedley,HCA,16,3,1,2,0,1.000,1,0,0,,0,0
KEMP,Dwayne,NEP,32,121,47,66,8,0.934,16,0,0,,0,0
KEMP,Tyriq,NEP,18,61,18,38,5,0.918,0,0,0,,0,0
KEMP,Urving,AMS,34,32,31,0,1,0.969,0,0,0,,0,0
KEUR,Nick,HCA,18,8,1,7,0,1.000,0,0,0,,0,0
KOEIMAN,Chris,RCH,13,17,7,10,0,1.000,3,0,0,,0,0
KOEIMAN,Elton,QUI,3,5,0,5,0,1.000,0,0,0,,0,0
KOPS,Finn,TWI,6,2,0,0,2,0.000,0,0,0,,0,0
KORTSTAM,Raoell,UVV,4,3,1,2,0,1.000,0,0,0,,0,0
KRAGT,Naut,AMS,8,3,0,2,1,0.667,0,0,0,,0,0
KUIJPER,Donny,DKI,30,84,45,33,6,0.929,4,0,0,,0,0
KUIJPER,Sem,DKI,24,109,94,13,2,0.982,2,16,3,84.2,2,0
KUIPERS,Stefan,QUI,35,93,58,29,6,0.935,1,0,0,,0,0
KWAKERNAAK,Thomas,DKI,2,3,0,2,1,0.667,0,0,0,,0,0
LACHKAR,Yassir,AMS,11,3,1,1,1,0.667,0,0,0,,0,0
LANKFORD,Wyatt,TWI,11,13,3,8,2,0.846,0,2,1,66.7,0,0
LEGITO,Raydley,RCH,10,50,16,29,5,0.900,4,0,0,,0,0
LEVENSTONE,Jeffrey,UVV,10,1,0,1,0,1.000,1,0,0,,0,0
LIGUORI,Lars,HCA,2,1,0,1,0,1.000,0,0,0,,0,0
MADERA,Alex,AMS,33,106,38,66,2,0.981,16,0,0,,0,0
MARLIN,Malcolm,RCH,32,132,51,70,11,0.917,14,0,0,,0,0
MARLIN,Shurman,HCA,34,248,242,3,3,0.988,25,0,0,,0,0
MARTIE,Yurdion Franklin,AMS,23,146,132,14,0,1.000,2,12,8,60.0,1,0
MARTINA,Brendly,HCA,31,79,54,24,1,0.987,10,0,0,,0,0
MARTINA,T'sean,RCH,8,8,1,4,3,0.625,0,0,0,,0,0
MARTIS,Joel,RCH,12,8,3,3,2,0.750,0,2,0,100.0,0,0
MARTIS,Shairon,NEP,10,13,4,8,1,0.923,1,0,0,,0,0
MEIJER,Andreas,PIO,23,108,90,11,7,0.935,6,0,0,,0,0
MELFOR,Tilsaimy,RCH,29,97,47,44,6,0.938,9,0,0,,0,0
MERCADO REYES,Tyrell,PIO,20,38,36,1,1,0.974,1,0,0,,0,0
MEVISSEN,Vincent,PIO,23,84,24,56,4,0.952,5,0,0,,0,0
MOHAMED,Jayden,NEP,15,11,5,3,3,0.727,1,0,0,,0,0
MOLL,Pascal,RCH,11,3,1,2,0,1.000,0,0,0,,0,0
MONTENEGRO,Mauricio,NEP,1,1,0,1,0,1.000,0,0,0,,0,0
MULLER,Luca,QUI,12,16,6,5,5,0.688,0,0,0,,0,0
NAGEL,Tijmen,DKI,4,11,7,2,2,0.818,1,0,0,,0,0
NAHUIS,Tieme,RCH,7,8,4,1,3,0.625,0,0,0,,0,0
NIJKAMP,Arjen,PIO,14,11,2,8,1,0.909,0,0,1,0.0,0,0
NIJMAN,Sem,PIO,11,1,0,1,0,1.000,0,1,0,100.0,0,0
NUIJTEN,Duco,AMS,30,157,78,74,5,0.968,23,0,0,,0,0
ODULIA,Faisel,QUI,11,1,0,1,0,1.000,1,1,0,100.0,0,0
OOSTERBEEK,Mathijs,DKI,16,1,0,1,0,1.000,0,0,0,,0,0
ORMAN,Jeldwin,RCH,32,76,52,19,5,0.934,4,0,0,,0,0
OUKES,Kaien Robin,PIO,2,3,0,2,1,0.667,0,0,0,,0,0
PASTOR,Luca,AMS,3,19,16,2,1,0.947,1,8,0,100.0,0,0
PASTOR,Thibaud,AMS,4,1,0,1,0,1.000,0,0,0,,0,0
PATIST,Jorrit,UVV,21,137,105,24,8,0.942,1,16,11,59.3,3,0
PEELS,Rick,QUI,25,62,57,2,3,0.952,6,0,0,,0,0
PENSEEL,Jorrit,AMS,32,217,201,13,3,0.986,17,0,0,,0,0
PETERS,Thijmen,TWI,22,39,17,16,6,0.846,5,0,0,,0,0
PIETERNELLA,Keegan,NEP,8,47,44,3,0,1.000,0,2,1,66.7,0,0
PITERNELLA,Ruendrick,RCH,26,97,86,10,1,0.990,1,19,4,82.6,6,0
POESMANS,Axel,TWI,17,164,148,12,4,0.976,1,19,4,82.6,3,0
POPKEN,Jasper,HCA,17,1,0,1,0,1.000,0,0,0,,0,0
POSTELMANS,Koen,NEP,12,7,2,3,2,0.714,1,0,0,,0,0
PRINS,Scott,AMS,3,4,1,3,0,1.000,1,0,0,,0,0
RAMMELOO,Casper,AMS,5,1,1,0,0,1.000,0,0,0,,0,0
REDAN,Ibrahin,DKI,26,84,76,6,2,0.976,12,0,0,,0,0
REDAN,Irving,DKI,28,32,32,0,0,1.000,0,0,0,,0,0
RICHARDSON,Denzel,AMS,34,55,52,3,0,1.000,1,0,0,,0,0
RIETEL,Maickel,AMS,8,3,1,2,0,1.000,0,0,0,,0,0
RIFAELA,Jhan,QUI,16,20,10,5,5,0.750,0,3,1,75.0,0,0
RIJPSTRA,Bas,QUI,12,23,19,2,2,0.913,0,23,0,100.0,1,0
RIJPSTRA,Nik,QUI,21,44,16,22,6,0.864,3,0,0,,0,0
RIZVIC,Rick,DKI,12,9,0,9,0,1.000,0,0,1,0.0,0,0
ROJAS,Timothy,UVV,32,146,68,72,6,0.959,24,0,0,,0,0
RUBEN,Berend,TWI,23,82,59,22,1,0.988,3,0,0,,0,0
RUBEN,Marnix,TWI,28,61,59,1,1,0.984,1,0,0,,0,0
RUBEN,Wijnand,TWI,23,26,25,1,0,1.000,0,0,0,,0,0
SAMBOE,Jiairo,QUI,17,4,0,3,1,0.750,0,3,1,75.0,0,0
SCHOONDERWOERD,Martijn,AMS,11,9,0,8,1,0.889,1,0,1,0.0,0,0
SEELBACH,Den,NEP,19,35,11,21,3,0.914,4,0,0,,0,0
SELASSA,Delano,HCA,21,81,26,48,7,0.914,7,0,0,,0,0
SMEENK,Raphael,AMS,6,35,10,22,3,0.914,5,0,0,,0,0
SMIT,Maarten Johannes,PIO,8,4,0,3,1,0.750,0,0,0,,0,0
SPEKKING,Toss,HCA,1,1,1,0,0,1.000,0,0,0,,0,0
STAAL,Finn,QUI,11,11,9,0,2,0.818,0,0,0,,0,0
STACIE,Alden,PIO,15,14,12,1,1,0.929,0,0,0,,0,0
SULBARAN,Juancarlos,NEP,11,21,5,14,2,0.905,3,0,0,,0,0
TAKKE,Tijmen,UVV,29,188,179,7,2,0.989,19,0,0,,0,0
TERPSTRA,Joost,NEP,8,2,0,2,0,1.000,0,0,0,,0,0
TERSTALL,Daan,PIO,32,188,180,6,2,0.989,13,0,0,,0,0
TIMMERMANS,Kaj,HCA,12,21,2,18,1,0.952,1,0,0,,0,0
TIMMERMANS,Rick,DKI,8,6,0,6,0,1.000,0,0,1,0.0,0,0
TOLENAARS,Marcel,DKI,19,126,121,1,4,0.968,12,0,0,,0,0
TOPPEN,Julian,DKI,28,55,48,7,0,1.000,2,0,0,,0,0
TROMP,Jeandro,HCA,36,60,58,1,1,0.983,1,0,0,,0,0
VAN ALEM,Jesper,PIO,3,18,14,2,2,0.889,0,11,0,100.0,4,0
VAN ATTEN,Jayden,PIO,29,124,34,70,20,0.839,12,0,0,,0,0
VAN BORKULO,Jair,HCA,36,189,176,9,4,0.979,2,23,4,85.2,5,0
VAN DE SANDEN,Sven,AMS,6,3,0,3,0,1.000,0,0,0,,0,0
VAN DE SANDEN,Tommy,AMS,21,54,41,11,2,0.963,2,0,0,,0,0
VAN DEN BERG,Jesse,DKI,31,119,33,75,11,0.908,13,0,0,,0,0
VAN DEN BERG,Mike,UVV,10,14,3,9,2,0.857,0,0,1,0.0,0,0
VAN DEN BOS,Ilyas,DKI,16,116,105,9,2,0.983,1,24,4,85.7,6,0
VAN DEN HURK,Jan,TWI,10,2,0,2,0,1.000,0,0,0,,0,0
VAN DEN OUWEELEN,Just,PIO,14,14,1,8,5,0.643,0,1,0,100.0,0,0
VAN DER LELIE,Jelle,AMS,8,7,0,7,0,1.000,0,0,0,,0,0
VAN DER MEER,Bob,HCA,36,133,36,90,7,0.947,22,0,0,,0,0
VAN DER MEER,Stijn,NEP,27,124,61,60,3,0.976,11,0,0,,0,0
VAN DER SCHOUW,Lucca,RCH,10,7,3,4,0,1.000,0,0,1,0.0,0,0
VAN DER WIJST,Oliver,AMS,34,104,28,71,5,0.952,9,0,0,,0,0
VAN DULKEN,Ben,QUI,19,78,63,7,8,0.897,0,11,1,91.7,1,0
VAN ES,Jesse,PIO,15,1,0,1,0,1.000,0,0,0,,0,0
VAN GOOL,Jerzy,TWI,29,116,37,68,11,0.905,9,0,0,,0,0
VAN GOOL,Onne,TWI,27,45,43,0,2,0.956,2,0,0,,0,0
VAN GORKUM,Luca,PIO,40,74,63,9,2,0.973,5,0,0,,0,0
VAN HOLY,Vince,QUI,8,1,0,1,0,1.000,0,0,0,,0,0
VAN HORIK,Jay,QUI,6,1,0,1,0,1.000,0,0,0,,0,0
VAN LAAR,Brian,UVV,8,4,2,2,0,1.000,0,1,1,50.0,0,0
VAN LAAR,Colin,UVV,11,8,0,8,0,1.000,1,0,1,0.0,0,0
VAN LEERSUM,Deef,UVV,9,3,0,3,0,1.000,0,0,0,,0,0
VAN ZALINGEN,Gijs,TWI,28,97,70,26,1,0.990,4,11,4,73.3,5,0
VAN ZIJL,Jurjen,UVV,11,11,0,10,1,0.909,0,0,1,0.0,0,0
VAN ZOELEN,Dieudonne,RCH,8,1,0,1,0,1.000,0,0,0,,0,0
VAN ZWIETEN,Amar,UVV,25,38,34,1,3,0.921,0,0,0,,0,0
VELDERS,Jesse,UVV,15,24,24,0,0,1.000,0,0,0,,0,0
VERHOEF,Geoffrey,UVV,20,56,50,4,2,0.964,2,14,2,87.5,0,0
VERKRUIJSSEN,Kimi,AMS,2,3,0,2,1,0.667,0,0,1,0.0,0,0
VERPAALEN,Daan,HCA,33,126,57,64,5,0.960,15,0,0,,0,0
VIJFVINKEL,Pim,AMS,14,17,1,14,2,0.882,1,1,2,33.3,0,0
VISSER,Lars,UVV,8,48,43,4,1,0.979,0,14,3,82.4,1,0
VISSER,Luuk,QUI,3,2,2,0,0,1.000,0,0,0,,0,0
VISSER,Luuk,TWI,19,19,19,0,0,1.000,0,0,0,,0,0
VORK,Moreno,RCH,11,5,0,4,1,0.800,0,0,1,0.0,0,0
VOS,Daniel,AMS,8,5,1,3,1,0.800,0,0,1,0.0,0,0
VOS,Lucas,AMS,14,18,17,1,0,1.000,1,0,0,,0,0
VOS,Mick,TWI,26,97,46,48,3,0.969,9,0,0,,0,0
WAGNER,Jack,TWI,11,11,1,8,2,0.818,0,0,1,0.0,0,0
WEBB,Emon,QUI,12,34,20,12,2,0.941,0,0,0,,0,0
WERKMAN,Koen,HCA,32,42,40,1,1,0.976,1,0,0,,0,0
WEVER,Dyvancho,QUI,18,39,18,17,4,0.897,1,0,0,,0,0
WIEGERS,Kevin,HCA,7,10,2,5,3,0.700,1,0,0,,0,0
WIEGERS,Kevin,RCH,9,19,7,10,2,0.895,2,0,0,,0,0
WILKINS,Luke,AMS,5,5,1,4,0,1.000,0,0,0,,0,0
WILLEM,Lorenzo,DKI,16,65,36,27,2,0.969,8,11,3,78.6,2,0
WILLEM,Miquel,PIO,17,41,37,3,1,0.976,1,0,0,,0,0
WILLEMS,Jonathan,NEP,2,1,0,1,0,1.000,0,0,0,,0,0
WILLIAMS,Darryl,PIO,18,5,4,1,0,1.000,0,0,0,,0,0
WINKEL,Eeuwe,RCH,9,2,1,1,0,1.000,0,0,0,,0,0
WOLS,Lucas,TWI,20,83,80,3,0,1.000,0,13,1,92.9,2,0
WOUT,Sean,UVV,7,1,0,0,1,0.000,0,0,0,,0,0
YNTEMA,Orlando,RCH,6,4,2,2,0,1.000,1,0,1,0.0,0,0
ZARA,Joshua,RCH,3,6,3,1,2,0.667,1,0,0,,0,0
ZEGWAARD,Pascal,QUI,28,66,63,2,1,0.985,0,0,0,,0,0
ZWITZER,Jurgen,TWI,6,3,1,2,0,1.000,1,0,0,,0,0
